DateTime,Site_Name,TotalFiles,TotalLocalStorage,TotalWebSQL,TotalIndexedDB,LST_set_FuD,LST_set_IfS,LST_set_For,LST_set_Whi,LST_set_DoW,LST_set_Swt,LST_set_Try,LST_set_Var,LST_set_FuE,LST_set_Blo,LST_set_Tot,LST_set_ToS,LST_get_FuD,LST_get_IfS,LST_get_For,LST_get_Whi,LST_get_DoW,LST_get_Swt,LST_get_Try,LST_get_Var,LST_get_FuE,LST_get_Blo,LST_get_Tot,LST_get_ToS,LST_rmv_FuD,LST_rmv_IfS,LST_rmv_For,LST_rmv_Whi,LST_rmv_DoW,LST_rmv_Swt,LST_rmv_Try,LST_rmv_Var,LST_rmv_FuE,LST_rmv_Blo,LST_rmv_Tot,LST_rmv_ToS,WSQ_exe_FuD,WSQ_exe_IfS,WSQ_exe_For,WSQ_exe_Whi,WSQ_exe_DoW,WSQ_exe_Swt,WSQ_exe_Try,WSQ_exe_Var,WSQ_exe_FuE,WSQ_exe_Blo,WSQ_exe_Tot,WSQ_exe_ToS,WSQ_upd_FuD,WSQ_upd_IfS,WSQ_upd_For,WSQ_upd_Whi,WSQ_upd_DoW,WSQ_upd_Swt,WSQ_upd_Try,WSQ_upd_Var,WSQ_upd_FuE,WSQ_upd_Blo,WSQ_upd_Tot,WSQ_upd_ToS,WSQ_del_FuD,WSQ_del_IfS,WSQ_del_For,WSQ_del_Whi,WSQ_del_DoW,WSQ_del_Swt,WSQ_del_Try,WSQ_del_Var,WSQ_del_FuE,WSQ_del_Blo,WSQ_del_Tot,WSQ_del_ToS,IDB_add_FuD,IDB_add_IfS,IDB_add_For,IDB_add_Whi,IDB_add_DoW,IDB_add_Swt,IDB_add_Try,IDB_add_Var,IDB_add_FuE,IDB_add_Blo,IDB_add_Tot,IDB_add_ToS,IDB_get_FuD,IDB_get_IfS,IDB_get_For,IDB_get_Whi,IDB_get_DoW,IDB_get_Swt,IDB_get_Try,IDB_get_Var,IDB_get_FuE,IDB_get_Blo,IDB_get_Tot,IDB_get_ToS,IDB_geA_FuD,IDB_geA_IfS,IDB_geA_For,IDB_geA_Whi,IDB_geA_DoW,IDB_geA_Swt,IDB_geA_Try,IDB_geA_Var,IDB_geA_FuE,IDB_geA_Blo,IDB_geA_Tot,IDB_geA_ToS,IDB_del_FuD,IDB_del_IfS,IDB_del_For,IDB_del_Whi,IDB_del_DoW,IDB_del_Swt,IDB_del_Try,IDB_del_Var,IDB_del_FuE,IDB_del_Blo,IDB_del_Tot,IDB_del_ToS
2019-02-04 10:25:40,tradingview.com,11,26,4,555,5,3,0,0,0,0,8,1,33,0,10,50,5,5,1,0,0,0,4,3,28,0,9,46,2,0,1,0,0,0,1,2,23,0,7,29,2,1,0,0,0,0,2,0,11,0,2,16,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,12,0,2,15,26,37,20,0,0,13,5,18,297,0,102,416,2,1,0,0,0,0,2,0,11,0,2,16,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,12,0,2,15
2019-02-04 0:10:16,bouyguestelecom.fr,10,60,3,208,5,7,2,0,0,0,8,8,96,0,22,126,5,4,2,0,0,0,1,9,87,0,22,108,9,2,1,0,0,0,2,7,76,0,16,97,1,0,0,0,0,0,0,1,10,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,18,0,2,22,34,23,2,0,0,2,5,27,196,0,70,289,1,0,0,0,0,0,0,1,10,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,18,0,2,22
2019-02-04 2:10:09,embedupload.com,31,45,3,1135,10,10,0,0,0,0,10,6,67,0,19,103,5,5,2,0,0,0,1,10,45,0,13,68,6,4,2,0,0,0,3,8,46,0,13,69,0,0,0,0,0,0,0,2,10,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,0,2,20,32,100,15,0,0,9,3,66,573,0,226,798,0,0,0,0,0,0,0,2,10,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,0,2,20
2019-02-03 22:51:56,actcorp.in,8,30,3,164,4,1,0,0,0,0,6,9,42,0,11,62,2,1,1,0,0,0,0,10,31,0,8,45,3,1,1,0,0,0,2,11,39,0,11,57,1,0,0,0,0,0,0,1,8,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,14,0,2,18,5,15,4,0,0,0,1,29,94,0,28,148,1,0,0,0,0,0,0,1,8,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,14,0,2,18
2019-02-04 0:21:13,careers360.com,23,62,3,554,4,13,0,0,0,0,14,17,75,0,23,123,2,8,1,0,0,0,5,24,68,0,23,108,3,3,1,0,0,0,7,16,53,0,16,83,1,0,0,0,0,0,0,1,8,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,14,0,2,18,25,106,13,0,0,3,8,51,316,0,124,522,1,0,0,0,0,0,0,1,8,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,14,0,2,18
2019-02-04 3:15:49,goair.in,22,32,3,178,6,1,0,0,0,0,8,9,42,0,13,66,2,1,1,0,0,0,0,10,31,0,8,45,3,1,1,0,0,0,2,11,39,0,11,57,1,0,0,0,0,0,0,1,8,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,14,0,2,18,5,17,4,0,0,0,1,29,117,0,35,173,1,0,0,0,0,0,0,1,8,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,14,0,2,18
2019-02-04 6:32:21,okezone.com,15,30,3,325,4,1,0,0,0,0,6,9,42,0,11,62,2,1,1,0,0,0,0,10,31,0,8,45,3,1,1,0,0,0,2,11,39,0,11,57,1,0,0,0,0,0,0,1,8,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,14,0,2,18,12,59,8,0,0,0,3,51,225,0,83,358,1,0,0,0,0,0,0,1,8,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,14,0,2,18
2019-02-04 7:58:08,shopclues.com,29,197,3,280,19,96,1,0,0,0,23,50,164,0,66,353,16,89,1,0,0,0,39,84,219,0,96,448,4,8,1,0,0,0,24,8,87,0,35,132,1,0,0,0,0,0,0,1,8,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,14,0,2,18,18,65,7,1,0,0,4,30,205,0,77,330,1,0,0,0,0,0,0,1,8,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,14,0,2,18
2019-02-04 8:38:26,shoppersstop.com,25,49,3,564,6,5,0,0,0,0,10,10,54,0,18,85,4,3,1,0,0,0,3,12,37,0,12,60,9,3,1,0,0,0,8,12,51,0,19,84,1,0,0,0,0,0,0,1,8,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,14,0,2,18,21,41,7,0,0,4,3,39,167,0,72,282,1,0,0,0,0,0,0,1,8,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,14,0,2,18
2019-02-04 9:03:23,sonyliv.com,29,53,3,779,0,21,0,0,0,0,5,9,66,0,20,101,0,16,1,1,0,0,2,11,42,0,15,73,0,16,1,0,0,0,1,12,55,0,18,85,0,1,0,0,0,0,0,2,7,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,12,0,2,18,58,224,19,0,0,8,12,56,472,0,197,849,0,1,0,0,0,0,0,2,7,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,12,0,2,18
2019-02-04 9:38:28,tallysolutions.com,24,46,3,302,4,2,0,0,0,0,9,12,61,0,17,88,2,2,1,0,0,0,1,18,49,0,14,73,3,2,1,0,0,0,4,12,51,0,15,73,1,0,0,0,0,0,0,1,8,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,14,0,2,18,17,22,6,0,0,0,1,30,136,0,51,212,1,0,0,0,0,0,0,1,8,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,14,0,2,18
2019-02-04 10:06:53,uptobox.com,24,131,3,1065,11,49,1,0,0,0,42,22,98,0,45,223,16,54,1,0,0,0,42,42,113,0,58,268,10,19,3,0,0,0,15,18,66,0,28,131,1,0,0,0,0,0,0,1,8,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,14,0,2,18,109,140,33,0,0,11,71,127,822,0,306,1313,1,0,0,0,0,0,0,1,8,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,14,0,2,18
2019-02-04 11:29:00,volvocars.com,13,89,3,322,4,2,7,0,0,7,4,37,123,0,34,184,5,6,15,0,0,13,1,43,124,0,36,207,5,2,2,2,0,0,3,7,56,0,19,77,1,0,0,0,0,0,0,1,8,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,14,0,2,18,35,69,9,1,0,1,4,25,263,0,114,407,1,0,0,0,0,0,0,1,8,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,14,0,2,18
2019-02-03 23:43:17,avsforum.com,37,30,3,2582,2,8,0,0,0,0,7,5,28,0,10,50,2,20,0,0,0,0,8,16,39,0,14,85,2,2,0,0,0,0,4,1,15,0,6,24,0,2,0,0,0,0,1,1,5,0,2,9,0,2,0,0,0,0,1,1,4,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,52,124,29,0,0,1,19,60,640,0,246,925,0,2,0,0,0,0,1,1,5,0,2,9,0,2,0,0,0,0,1,1,4,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-04 1:07:57,creditcards.com,32,59,3,470,6,11,0,0,0,0,12,7,44,0,17,80,10,23,0,0,0,0,10,27,78,0,34,148,3,4,0,0,0,0,5,2,18,0,8,32,0,2,0,0,0,0,1,1,5,0,2,9,0,2,0,0,0,0,1,1,4,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,15,56,8,0,0,4,5,30,231,0,84,349,0,2,0,0,0,0,1,1,5,0,2,9,0,2,0,0,0,0,1,1,4,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-04 9:43:38,trekbikes.com,14,44,3,493,5,17,1,0,0,0,6,5,28,0,12,62,3,34,2,0,0,0,10,16,74,0,23,139,2,10,3,0,0,0,2,5,38,0,9,60,0,2,0,0,0,0,1,1,5,0,2,9,0,2,0,0,0,0,1,1,4,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,24,72,11,0,0,5,3,19,241,0,107,375,0,2,0,0,0,0,1,1,5,0,2,9,0,2,0,0,0,0,1,1,4,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0
